CustomerID,FullName,Birthday,PhoneNumber,Email,Address,IsOnline,IsDirectly,AccountLogin
CUS00001,Phan Bích Anh,1994-04-26,0818893628,anh.phan595@outlook.com,225 - Lý Tự Trọng - Tân Uyên - Bình Dương,1,0,anhp
CUS00002,Võ Kim Nhung,1969-10-22,0342538921,nhung.vo940@protonmail.com,183 - Nam Kỳ Khởi Nghĩa - Cái Răng - Cần Thơ,0,1,
CUS00003,Trương Kim Hạnh,1977-12-29,0709079779,hanh.truong447@gmail.com,239 - Lê Duẩn - Rạch Dừa - Vũng Tàu,0,1,
CUS00004,Trương Thị Trang,1999-01-12,0564097626,trang.truong221@icloud.com,142 - Phạm Ngũ Lão - Tân Phong - Biên Hòa,1,0,trangt
CUS00005,Bùi Hồng Phượng,1981-06-08,0970905911,phuong.bui629@gmail.com,162 - Pasteur - Thắng Nhì - Vũng Tàu,0,1,
CUS00006,Phan Minh Khánh,1976-07-30,0921511696,khanh.phan825@outlook.com,254 - Nguyễn Thái Học - Hóc Môn - TP. Hồ Chí Minh,0,1,
CUS00007,Hoàng Kim Linh,1985-12-23,0374633515,linh.hoang463@protonmail.com,47 - Lê Văn Sỹ - Vĩnh Hải - Nha Trang,1,1,linhh
CUS00008,Nguyễn Anh Diệu,2003-09-26,0325640995,dieu.nguyen880@gmail.com,7 - Điện Biên Phủ - Hải Châu - Đà Nẵng,0,1,
CUS00009,Huỳnh Hoàng My,1998-04-07,0377282709,my.huynh40@email.com,294 - Hoàng Văn Thụ - Liên Chiểu - Đà Nẵng,0,1,
CUS00010,Đặng Ngọc Trang,1959-03-03,0585786718,trang.ang68@hotmail.com,80 - Võ Thị Sáu - Vĩnh Ninh - Huế,0,1,tranga
CUS00011,Vũ Công Nam,1994-07-07,0841589988,nam.vu404@protonmail.com,435 - Nguyễn Trãi - Tây Lộc - Huế,0,1,namv
