EmployeeID,FullName,Birthday,Gender,CCCD,Street,District,City,PhoneNumber,BasicSalary,Manager,CenterID,AccountLogin,IsManager,IsReceptionist,IsTechnician,IsCashier,IsAdmin
EMP0001,Lương Quang Quang,1992-06-22,Nam,064098032938,363 Trần Hưng Đạo,Ninh Kiều,Cần Thơ,0975183473,37544773,,CEN001,MN0001,1,0,0,0,0
EMP0002,Vũ Xuân Ánh,1977-03-09,Nữ,035605056802,221 Bùi Viện,Cầu Giấy,Hà Nội,0901065133,26389096,,CEN002,MN0002,1,0,0,0,0
EMP0003,Hoàng Thanh Linh,1988-10-01,Nữ,008704102664,473 Tôn Đức Thắng,Vĩnh Ninh,Huế,0338013267,27946424,,CEN003,MN0003,1,0,0,0,0
EMP0004,Trần Bích Vân,1979-04-20,Nữ,080792765990,402 Nguyễn Thái Học,Vĩnh Hải,Nha Trang,0948723430,20072322,,CEN004,MN0004,1,0,0,0,0
EMP0005,Bùi Văn Dũng,1976-10-04,Nam,051286084002,437 Nguyễn Thái Học,Tây Lộc,Huế,0972191361,39601747,,CEN005,MN0005,1,0,0,0,0
EMP0006,Mai Hữu Khang,1976-05-06,Nam,026302250280,479 Cách Mạng Tháng 8,Bến Cát,Bình Dương,0706247510,39584792,,CEN006,MN0006,1,0,0,0,0
EMP0007,Lê Quang Phong,1980-11-14,Nam,089102298830,179 Nguyễn Thái Học,Ngô Quyền,Hải Phòng,0377849808,36974673,,CEN007,MN0007,1,0,0,0,0
EMP0008,Hoàng Quốc Hùng,1985-12-06,Nam,060301720892,145 Võ Văn Tần,Phường 2,Vũng Tàu,0594874016,22791531,,CEN008,MN0008,1,0,0,0,0
EMP0009,Bùi Đức Thành,1986-01-23,Nam,054098724586,219 Đề Thám,Tây Lộc,Huế,0982805982,24421791,,CEN009,MN0009,1,0,0,0,0
EMP0010,Đặng Thành Cường,1981-03-07,Nam,035803650810,53 Bùi Viện,Bình Thủy,Cần Thơ,0922322602,32006085,,CEN010,MN0010,1,0,0,0,0
EMP0011,Võ Đức Hoàng,1985-07-30,Nam,035401233752,419 Hai Bà Trưng,Vĩnh Ninh,Huế,0323654145,16061303,EMP0001,CEN001,TN0001,0,0,1,0,0
EMP0012,Nguyễn Ngọc Nhung,1974-07-24,Nữ,074504121263,223 Võ Thị Sáu,Quận 4,TP. Hồ Chí Minh,0799340608,13899833,EMP0005,CEN005,RC0001,0,1,0,0,0
EMP0013,Đỗ Đình Đức,1972-12-17,Nam,074405428231,435 Bùi Viện,Thuận An,Bình Dương,0776482366,17090865,EMP0006,CEN006,AD0001,0,0,0,0,1
EMP0014,Hồ Hoàng Anh,1995-11-12,Nữ,045701536004,336 Võ Thị Sáu,Phước Long,Nha Trang,0832148951,12903222,EMP0004,CEN004,TN0002,0,0,1,0,0
EMP0015,Vũ Hồng Hương,1991-12-11,Nữ,045604203880,394 Tôn Đức Thắng,Tây Lộc,Huế,0916763201,9610927,EMP0004,CEN004,RC0002,0,1,0,0,0
EMP0016,Đinh Công Dũng,1979-04-23,Nam,051803642412,238 Nguyễn Công Trứ,Vĩnh Ninh,Huế,0968687277,13800023,EMP0002,CEN002,CS0001,0,0,0,1,0
EMP0017,Đinh Xuân Ngọc,1990-05-07,Nữ,091874242495,172 Võ Văn Tần,Ngô Quyền,Hải Phòng,0792316658,11881918,EMP0002,CEN002,RC0003,0,1,0,0,0
EMP0018,Phan Đình Hiếu,1977-08-01,Nam,094582894905,245 Phan Đình Phùng,TP. Thủ Đức,TP. Hồ Chí Minh,0986889373,15098919,EMP0010,CEN010,AD0002,0,0,0,0,1
EMP0019,Nguyễn Thanh Thủy,1989-08-12,Nữ,096903620644,471 Nguyễn Văn Cừ,Hòa Vang,Đà Nẵng,0560162720,9935309,EMP0007,CEN007,CS0002,0,0,0,1,0
EMP0020,Phan Xuân Thảo,1990-07-14,Nữ,046000998160,428 Võ Văn Tần,Hải An,Hải Phòng,0783100330,11887079,EMP0007,CEN007,TN0003,0,0,1,0,0
EMP0021,Lý Hữu Xuân,1997-05-03,Nam,079200606794,311 Đinh Tiên Hoàng,Lê Chân,Hải Phòng,0324966319,13721542,EMP0008,CEN008,AD0003,0,0,0,0,1
EMP0022,Mai Ngọc Phượng,1991-02-22,Nữ,049583862276,190 Bùi Viện,Phường 4,Vũng Tàu,0831657262,9289225,EMP0006,CEN006,CS0003,0,0,0,1,0
EMP0023,Mai Hoàng Huệ,1973-11-30,Nữ,093184255709,126 Tôn Đức Thắng,Lê Chân,Hải Phòng,0937996507,19968676,EMP0010,CEN010,TN0004,0,0,1,0,0
EMP0024,Phan Kim Nhung,1986-04-04,Nữ,010303582144,265 Nguyễn Huệ,Kiến An,Hải Phòng,0933777014,13602697,EMP0010,CEN010,TN0005,0,0,1,0,0
